CO2 [ppm],Temperature_Indoor [C],Relative_Humidity_Indoor [%],Temperature_Outdoor [C],Relative_Humidity_Outdoor [%],Solar_Radiation [w/m2],Southward_Vertical_Irradiance [w/m2],Class,Room_ID
492,24.00,67.90,34.13,46.70,100.710,228.000,No Turning-off Behavior,A
482,24.00,67.90,34.48,46.80,262.520,254.000,No Turning-off Behavior,A
483,23.90,67.70,34.79,47.20,550.580,291.000,No Turning-off Behavior,A
502,23.90,67.90,35.01,45.80,72.650,287.000,No Turning-off Behavior,A
516,23.60,66.00,34.96,45.90,773.180,316.000,No Turning-off Behavior,A
521,23.50,66.20,35.75,44.40,744.660,320.000,No Turning-off Behavior,A
509,23.90,72.20,35.62,42.50,48.100,271.000,No Turning-off Behavior,A
507,24.70,71.00,35.14,43.50,17.940,212.000,No Turning-off Behavior,A
520,24.20,66.10,35.14,43.80,88.790,253.000,No Turning-off Behavior,A
524,23.90,66.10,35.50,43.90,110.300,283.000,No Turning-off Behavior,A
527,23.70,66.50,34.96,45.00,7.650,172.000,No Turning-off Behavior,A
539,23.70,66.50,34.68,46.30,14.200,151.000,No Turning-off Behavior,A
532,23.60,66.40,34.68,46.50,15.130,156.000,No Turning-off Behavior,A
555,23.60,66.50,34.83,46.10,189.100,180.000,No Turning-off Behavior,A
568,23.50,66.50,35.30,43.90,256.440,224.000,No Turning-off Behavior,A
564,23.90,73.20,35.97,42.20,321.670,194.000,No Turning-off Behavior,A
575,24.70,74.60,36.15,43.00,570.690,189.000,No Turning-off Behavior,A
582,24.20,67.40,36.13,43.50,211.070,172.000,No Turning-off Behavior,A
584,24.00,67.30,36.16,43.10,71.250,135.000,No Turning-off Behavior,A
595,24.00,66.80,35.57,43.30,93.700,147.000,No Turning-off Behavior,A
622,23.60,65.60,35.67,44.30,21.210,115.000,No Turning-off Behavior,A
654,24.00,73.30,35.34,45.80,4.140,108.000,No Turning-off Behavior,A
665,24.80,71.40,35.13,46.60,2.970,106.000,No Turning-off Behavior,A
674,24.70,64.60,34.89,46.70,3.210,108.000,No Turning-off Behavior,A
686,23.80,63.90,34.77,46.60,4.840,116.000,No Turning-off Behavior,A
719,24.00,72.60,35.04,45.70,125.500,138.000,No Turning-off Behavior,A
719,24.80,70.90,35.32,45.50,75.460,138.000,No Turning-off Behavior,A
722,24.80,64.40,35.57,45.60,16.540,107.000,No Turning-off Behavior,A
746,24.00,64.80,34.87,47.00,125.030,112.000,No Turning-off Behavior,A
654,23.80,66.80,34.92,47.90,8.590,98.000,No Turning-off Behavior,A
608,23.70,67.80,34.92,47.80,10.920,92.000,No Turning-off Behavior,A
562,23.80,69.50,34.77,47.80,4.140,89.000,No Turning-off Behavior,A
452,24.10,76.60,28.65,81.30,53.250,136.000,No Turning-off Behavior,A
453,24.00,78.70,28.37,76.80,8.590,133.000,No Turning-off Behavior,A
463,24.00,77.90,28.91,77.60,168.050,138.000,No Turning-off Behavior,A
470,24.10,77.10,28.83,73.70,12.090,152.000,No Turning-off Behavior,A
484,24.00,77.00,29.12,75.20,4.380,108.000,No Turning-off Behavior,A
488,23.90,76.90,28.73,75.10,8.590,112.000,No Turning-off Behavior,A
496,24.00,76.00,29.92,72.20,28.930,179.000,No Turning-off Behavior,A
485,24.00,74.80,29.72,65.10,6.480,149.000,No Turning-off Behavior,A
477,24.00,75.30,29.59,66.50,12.560,167.000,No Turning-off Behavior,A
479,24.10,75.80,30.44,67.70,15.600,183.000,No Turning-off Behavior,A
485,24.20,74.00,30.40,65.00,11.630,184.000,No Turning-off Behavior,A
