CO2 [ppm],Temperature_Indoor [C],Relative_Humidity_Indoor [%],Temperature_Outdoor [C],Relative_Humidity_Outdoor [%],Solar_Radiation [w/m2],Southward_Vertical_Irradiance [w/m2],Class,Room_ID
530,24.20,72.90,34.21,51.40,305.300,117.000,No Turning-on Behavior,A
504,24.20,73.40,34.36,51.20,257.140,103.000,No Turning-on Behavior,A
497,24.20,72.70,34.01,52.50,354.640,99.000,No Turning-on Behavior,A
517,24.10,73.20,34.03,51.80,321.670,95.000,No Turning-on Behavior,A
487,24.10,74.20,34.08,51.80,173.900,82.000,No Turning-on Behavior,A
460,23.80,73.00,33.74,52.70,290.340,77.000,No Turning-on Behavior,A
463,23.60,72.80,33.34,53.40,186.990,69.000,No Turning-on Behavior,A
651,24.10,70.40,36.66,44.90,583.790,232.000,No Turning-on Behavior,A
689,24.20,74.60,37.19,42.50,244.750,231.000,No Turning-on Behavior,A
706,24.90,76.60,36.48,45.20,624.000,211.000,No Turning-on Behavior,A
701,24.70,70.00,36.51,45.60,534.680,182.000,No Turning-on Behavior,A
719,24.00,68.70,36.77,44.00,604.830,173.000,No Turning-on Behavior,A
750,24.50,75.80,36.53,44.90,550.350,143.000,No Turning-on Behavior,A
744,25.10,75.50,36.31,44.50,213.650,127.000,No Turning-on Behavior,A
749,24.50,69.00,36.64,42.70,609.970,113.000,No Turning-on Behavior,A
790,23.80,72.50,37.29,38.20,67.980,106.000,No Turning-on Behavior,A
793,24.60,76.00,36.71,43.10,673.340,104.000,No Turning-on Behavior,A
790,25.30,73.30,37.76,31.00,457.520,106.000,No Turning-on Behavior,A
805,24.70,68.20,37.65,38.70,182.550,107.000,No Turning-on Behavior,A
825,23.90,71.00,36.30,43.40,497.740,115.000,No Turning-on Behavior,A
819,24.60,75.70,35.61,45.30,50.440,110.000,No Turning-on Behavior,A
775,25.40,71.60,35.59,45.20,400.700,102.000,No Turning-on Behavior,A
733,24.60,68.20,35.62,44.20,13.730,72.000,No Turning-on Behavior,A
722,23.90,67.00,35.77,43.10,129.000,85.000,No Turning-on Behavior,A
728,24.10,75.80,35.33,44.00,317.700,82.000,No Turning-on Behavior,A
710,23.70,67.80,35.34,44.60,28.690,75.000,No Turning-on Behavior,A
691,23.30,67.00,35.04,45.20,344.590,68.000,No Turning-on Behavior,A
683,23.00,67.00,34.38,47.10,84.110,58.000,No Turning-on Behavior,A
450,24.20,69.70,30.50,63.20,472.490,143.000,No Turning-on Behavior,A
445,23.80,70.20,30.57,63.30,237.500,148.000,No Turning-on Behavior,A
476,23.80,71.30,31.00,61.40,16.070,181.000,No Turning-on Behavior,A
506,24.10,72.70,30.44,63.50,35.480,148.000,No Turning-on Behavior,A
551,24.30,68.00,33.51,42.40,69.850,270.000,No Turning-on Behavior,A
568,24.20,68.50,33.54,42.40,123.860,274.000,No Turning-on Behavior,A
566,24.20,68.70,33.69,41.40,134.620,258.000,No Turning-on Behavior,A
571,24.10,68.60,33.96,41.80,487.450,330.000,No Turning-on Behavior,A
598,23.90,68.80,33.78,40.70,77.100,319.000,No Turning-on Behavior,A
610,23.90,68.80,34.44,40.00,355.580,272.000,No Turning-on Behavior,A
623,23.70,68.80,34.16,39.10,465.240,291.000,No Turning-on Behavior,A
614,23.60,67.50,34.46,38.80,416.140,283.000,No Turning-on Behavior,A
612,23.60,67.20,34.33,39.60,568.120,279.000,No Turning-on Behavior,A
563,23.60,67.00,34.10,39.20,157.300,200.000,No Turning-on Behavior,A
544,23.70,66.60,34.18,39.70,421.280,230.000,No Turning-on Behavior,A
542,23.70,66.80,34.15,40.70,91.120,187.000,No Turning-on Behavior,A
550,23.70,66.60,33.92,40.50,12.330,178.000,No Turning-on Behavior,A
542,23.70,66.20,33.42,42.10,18.870,154.000,No Turning-on Behavior,A
549,23.60,66.20,33.26,42.60,2.740,96.000,No Turning-on Behavior,A
548,23.60,66.10,32.92,43.50,2.740,106.000,No Turning-on Behavior,A
537,23.50,66.40,33.18,43.20,2.270,118.000,No Turning-on Behavior,A
534,23.70,67.40,32.93,43.70,2.510,90.000,No Turning-on Behavior,A
551,23.90,68.00,32.84,44.40,3.680,84.000,No Turning-on Behavior,A
535,24.00,68.50,33.14,43.60,5.780,105.000,No Turning-on Behavior,A
546,23.90,69.10,32.86,44.80,2.510,93.000,No Turning-on Behavior,A
545,23.90,69.20,32.59,45.70,2.510,73.000,No Turning-on Behavior,A
543,23.80,68.50,32.49,45.60,2.270,66.000,No Turning-on Behavior,A
577,23.80,67.70,32.58,46.20,2.040,78.000,No Turning-on Behavior,A
590,23.70,67.00,32.65,46.10,2.040,64.000,No Turning-on Behavior,A
583,23.70,66.50,32.50,46.80,14.660,42.000,No Turning-on Behavior,A
575,23.60,67.00,32.50,47.00,2.740,39.000,No Turning-on Behavior,A
583,23.60,68.40,32.43,47.40,2.740,40.000,No Turning-on Behavior,A
558,23.70,69.30,32.37,47.50,3.440,57.000,No Turning-on Behavior,A
526,23.80,69.70,32.69,47.20,23.080,101.000,No Turning-on Behavior,A
516,23.90,69.80,32.74,46.40,281.460,99.000,No Turning-on Behavior,A
499,23.20,69.60,32.76,51.60,4.840,202.000,No Turning-on Behavior,A
533,23.10,69.60,33.16,50.50,201.720,212.000,No Turning-on Behavior,A
560,23.10,69.60,32.63,52.90,4.610,148.000,No Turning-on Behavior,A
572,23.40,71.20,31.96,55.10,6.720,164.000,No Turning-on Behavior,A
528,23.80,70.70,32.50,55.40,57.450,239.000,No Turning-on Behavior,A
516,23.80,70.30,32.18,56.90,227.210,285.000,No Turning-on Behavior,A
518,23.90,70.20,31.84,58.10,184.890,257.000,No Turning-on Behavior,A
516,23.90,69.80,31.09,60.10,235.630,259.000,No Turning-on Behavior,A
545,24.00,69.50,31.15,59.40,171.090,239.000,No Turning-on Behavior,A
539,24.00,69.00,30.75,60.40,65.640,231.000,No Turning-on Behavior,A
531,23.90,69.00,30.18,61.90,189.100,222.000,No Turning-on Behavior,A
537,23.90,69.50,30.09,61.80,190.030,210.000,No Turning-on Behavior,A
540,24.00,70.30,29.96,61.00,178.340,198.000,No Turning-on Behavior,A
547,24.10,70.70,29.53,62.20,146.540,189.000,No Turning-on Behavior,A
550,24.00,70.40,29.24,63.40,36.410,181.000,No Turning-on Behavior,A
556,24.00,70.80,29.05,63.90,110.300,171.000,No Turning-on Behavior,A
562,24.00,70.60,28.92,64.10,14.900,164.000,No Turning-on Behavior,A
563,24.00,70.60,28.59,63.10,56.990,150.000,No Turning-on Behavior,A
540,24.00,70.20,27.94,65.10,45.760,144.000,No Turning-on Behavior,A
533,23.90,70.10,27.98,64.70,33.600,136.000,No Turning-on Behavior,A
