Temperature_Indoor [C],Relative_Humidity_Indoor [%],Indoor_Illumination [LUX],Temperature_Outdoor [C],Relative_Humidity_Outdoor [%],Solar_Radiation [w/m2],Southward_Vertical_Irradiance [w/m2],Shading_Status_last,Class,Room_ID
26.60,62.60,545,36.15,48.00,540.300,277.000,0,Rolling Up,C
26.50,62.00,556,37.16,44.90,554.320,271.000,0,Rolling Up,C
26.30,60.00,527,36.38,47.10,545.210,255.000,0,Rolling Up,C
26.20,60.60,497,36.13,47.80,618.860,259.000,0,Rolling Up,C
26.10,59.20,485,36.34,46.70,307.640,251.000,0,Rolling Up,C
26.20,59.60,429,36.64,44.90,618.160,240.000,0,Rolling Up,C
26.10,56.90,424,37.30,43.90,528.140,226.000,0,Rolling Up,C
26.00,57.30,422,37.08,43.40,570.930,225.000,0,Rolling Up,C
26.20,58.00,408,36.47,44.90,589.630,208.000,0,Rolling Up,C
25.90,57.20,339,36.71,44.60,195.880,176.000,0,Rolling Up,C
25.60,56.30,398,36.43,45.00,579.580,168.000,0,Rolling Up,C
26.00,58.70,362,36.67,44.10,475.530,135.000,0,Rolling Up,C
26.30,60.30,331,36.58,44.10,557.130,118.000,0,Rolling Up,C
26.20,59.50,307,36.65,42.30,647.150,111.000,0,Rolling Up,C
26.30,59.80,306,37.09,41.00,159.870,106.000,0,Rolling Up,C
26.40,60.30,306,36.98,34.40,694.380,104.000,0,Rolling Up,C
26.50,59.60,289,37.81,31.30,41.320,106.000,0,Rolling Up,C
26.40,58.70,307,37.20,41.00,592.910,108.000,0,Rolling Up,C
26.60,59.40,314,36.24,43.60,468.510,111.000,0,Rolling Up,C
25.90,60.20,303,36.09,44.60,139.290,103.000,0,Rolling Up,C
26.30,59.30,284,35.88,44.50,380.600,97.000,0,Rolling Up,C
26.30,59.00,238,35.67,44.30,15.600,79.000,0,Rolling Up,C
26.00,57.80,246,35.67,43.10,393.220,84.000,0,Rolling Up,C
25.60,57.50,225,35.57,43.60,117.080,77.000,0,Rolling Up,C
25.40,58.50,224,35.23,44.90,107.490,72.000,0,Rolling Up,C
25.40,58.70,206,35.00,45.50,358.380,66.000,0,Rolling Up,C
27.10,58.50,355,29.31,65.70,12.090,154.000,0,Rolling Up,C
27.00,59.90,378,29.59,64.20,230.250,164.000,0,Rolling Up,C
26.90,60.80,394,30.29,61.00,121.290,169.000,0,Rolling Up,C
27.10,61.30,444,30.15,61.00,16.070,183.000,0,Rolling Up,C
27.10,65.70,462,30.45,59.50,328.220,184.000,0,Rolling Up,C
27.60,67.20,439,30.77,58.00,13.960,188.000,0,Rolling Up,C
27.70,65.90,479,31.07,57.80,337.340,215.000,0,Rolling Up,C
27.90,65.00,498,30.86,58.50,186.290,230.000,0,Rolling Up,C
28.10,65.00,459,31.41,56.50,9.290,202.000,0,Rolling Up,C
27.80,62.50,465,31.70,55.90,16.300,203.000,0,Rolling Up,C
27.60,60.90,445,31.05,58.00,4.840,194.000,0,Rolling Up,C
27.10,57.40,500,31.55,56.40,6.480,233.000,0,Rolling Up,C
26.70,55.50,409,31.87,55.10,4.610,178.000,0,Rolling Up,C
26.30,53.70,355,31.30,55.40,4.840,149.000,0,Rolling Up,C
26.10,53.70,357,32.00,54.40,3.210,149.000,0,Rolling Up,C
25.80,52.70,299,31.32,56.40,4.140,116.000,0,Rolling Up,C
25.30,52.00,253,31.93,54.50,3.210,90.000,0,Rolling Up,C
25.20,55.30,275,31.47,55.70,4.140,111.000,0,Rolling Up,C
25.40,55.10,350,31.15,57.70,3.680,150.000,0,Rolling Up,C
25.40,54.80,479,31.34,57.60,143.030,250.000,0,Rolling Up,C
25.30,54.60,387,31.70,56.90,151.920,209.000,0,Rolling Up,C
25.60,55.10,559,31.53,57.40,60.960,279.000,0,Rolling Up,C
25.50,54.30,616,32.36,54.90,16.300,326.000,0,Rolling Up,C
25.50,53.90,526,32.32,54.90,223.700,288.000,0,Rolling Up,C
25.60,54.30,596,32.72,52.80,232.350,323.000,0,Rolling Up,C
25.40,53.80,506,32.40,54.10,15.830,281.000,0,Rolling Up,C
25.80,55.70,604,32.72,53.20,46.930,290.000,0,Rolling Up,C
25.50,53.80,511,32.83,52.10,4.840,224.000,0,Rolling Up,C
25.00,51.70,626,33.18,49.90,236.790,319.000,0,Rolling Up,C
24.80,52.10,416,33.24,50.90,4.380,171.000,0,Rolling Up,C
24.70,52.60,436,33.29,50.30,35.710,240.000,0,Rolling Up,C
25.00,55.60,336,32.41,53.60,5.780,142.000,0,Rolling Up,C
25.70,58.30,440,32.21,55.40,140.460,208.000,0,Rolling Up,C
25.80,56.70,505,32.63,55.30,174.830,244.000,0,Rolling Up,C
26.00,57.40,552,31.62,58.70,209.910,281.000,0,Rolling Up,C
26.10,57.90,541,31.48,59.20,69.150,260.000,0,Rolling Up,C
26.20,57.00,539,31.15,60.30,211.540,252.000,0,Rolling Up,C
26.20,56.80,521,31.15,59.50,191.430,238.000,0,Rolling Up,C
26.10,56.70,513,30.66,60.60,195.180,229.000,0,Rolling Up,C
26.10,56.20,499,30.32,60.90,177.170,219.000,0,Rolling Up,C
25.90,55.50,472,29.94,62.20,31.500,207.000,0,Rolling Up,C
26.10,55.90,452,29.76,62.30,177.640,197.000,0,Rolling Up,C
26.00,55.70,431,29.09,64.10,40.620,187.000,0,Rolling Up,C
26.30,60.80,416,29.39,62.60,124.790,178.000,0,Rolling Up,C
26.30,61.70,400,28.88,63.70,106.560,170.000,0,Rolling Up,C
26.30,62.40,376,28.95,62.30,31.500,161.000,0,Rolling Up,C
26.40,61.50,341,28.46,63.90,71.720,148.000,0,Rolling Up,C
26.30,59.50,520,27.92,65.50,13.500,140.000,0,Rolling Up,C
26.30,58.30,501,27.96,64.00,88.790,133.000,0,Rolling Up,C
26.30,58.10,367,27.95,64.10,25.420,100.000,0,Rolling Up,C
25.90,63.90,135,20.36,90.60,1.570,16.000,1,Rolling Up,C
25.80,64.00,128,20.29,90.40,1.570,15.000,0.5,Rolling Up,C
25.80,70.10,646,23.72,85.30,2.510,135.000,0,Rolling Up,C
25.70,70.50,644,23.88,84.70,3.210,131.000,0,Rolling Up,C
25.90,70.40,852,23.95,84.10,2.740,170.000,0,Rolling Up,C
26.00,70.30,724,24.30,82.30,2.970,135.000,0,Rolling Up,C
25.90,70.50,591,24.33,81.70,2.740,105.000,0,Rolling Up,C
25.90,70.90,639,24.46,81.00,2.970,139.000,0,Rolling Up,C
26.00,70.70,636,24.89,81.10,3.210,123.000,0,Rolling Up,C
26.00,70.70,810,25.15,79.40,3.210,165.000,0,Rolling Up,C
25.80,43.80,991,24.45,30.70,3.210,277.000,1,Rolling Up,C
25.90,42.20,981,24.89,30.40,2.270,280.000,0,Rolling Up,C
26.00,41.90,944,24.38,31.20,2.970,285.000,0,Rolling Up,C
26.10,42.80,913,24.55,30.20,3.680,283.000,0,Rolling Up,C
26.10,43.00,830,24.61,30.90,4.140,284.000,0,Rolling Up,C
26.10,42.80,757,24.61,30.50,4.840,283.000,0,Rolling Up,C
26.20,41.40,733,24.80,28.10,4.610,287.000,0,Rolling Up,C
26.20,41.30,718,24.66,28.70,6.250,279.000,0,Rolling Up,C
26.20,40.40,710,26.07,28.80,6.720,275.000,0,Rolling Up,C
26.30,40.80,699,25.46,27.70,16.770,273.000,0,Rolling Up,C
